country,year,count,total_count
USA,1900,27,1457
USA,1904,146,1457
USA,1908,34,1457
USA,1912,45,1457
USA,1920,110,1457
USA,1924,110,1457
USA,1928,43,1457
USA,1932,78,1457
USA,1936,51,1457
USA,1948,83,1457
USA,1952,79,1457
USA,1956,61,1457
USA,1960,68,1457
USA,1964,78,1457
USA,1968,83,1457
USA,1972,53,1457
USA,1976,63,1457
USA,1984,168,1457
USA,1988,77,1457
URS,1952,36,838
URS,1956,68,838
URS,1960,61,838
URS,1964,61,838
URS,1968,66,838
URS,1972,107,838
URS,1976,113,838
URS,1980,192,838
URS,1988,134,838
GBR,1900,48,416
GBR,1904,1,416
GBR,1908,144,416
GBR,1912,44,416
GBR,1920,55,416
GBR,1924,17,416
GBR,1928,6,416
GBR,1932,8,416
GBR,1936,12,416
GBR,1948,6,416
GBR,1952,3,416
GBR,1956,8,416
GBR,1960,2,416
GBR,1964,4,416
GBR,1968,8,416
GBR,1972,8,416
GBR,1976,6,416
GBR,1980,5,416
GBR,1984,9,416
GBR,1988,22,416
ITA,1900,2,365
ITA,1908,2,365
ITA,1912,18,365
ITA,1920,68,365
ITA,1924,25,365
ITA,1928,18,365
ITA,1932,21,365
ITA,1936,36,365
ITA,1948,20,365
ITA,1952,17,365
ITA,1956,25,365
ITA,1960,36,365
ITA,1964,13,365
ITA,1968,5,365
ITA,1972,9,365
ITA,1976,2,365
ITA,1980,8,365
ITA,1984,29,365
ITA,1988,11,365
SWE,1908,69,334
SWE,1912,86,334
SWE,1920,53,334
SWE,1924,6,334
SWE,1928,7,334
SWE,1932,12,334
SWE,1936,7,334
SWE,1948,29,334
SWE,1952,23,334
SWE,1956,14,334
SWE,1960,2,334
SWE,1964,3,334
SWE,1968,4,334
SWE,1972,4,334
SWE,1976,9,334
SWE,1980,3,334
SWE,1984,3,334
GDR,1968,13,329
GDR,1972,30,329
GDR,1976,99,329
GDR,1980,112,329
GDR,1988,75,329
HUN,1900,1,311
HUN,1904,2,311
HUN,1908,6,311
HUN,1912,10,311
HUN,1924,2,311
HUN,1928,9,311
HUN,1932,20,311
HUN,1936,25,311
HUN,1948,15,311
HUN,1952,52,311
HUN,1956,30,311
HUN,1960,13,311
HUN,1964,42,311
HUN,1968,32,311
HUN,1972,10,311
HUN,1976,14,311
HUN,1980,8,311
HUN,1988,20,311
FRA,1900,46,275
FRA,1908,9,275
FRA,1912,10,275
FRA,1920,13,275
FRA,1924,39,275
FRA,1928,7,275
FRA,1932,23,275
FRA,1936,12,275
FRA,1948,25,275
FRA,1952,14,275
FRA,1956,6,275
FRA,1964,1,275
FRA,1968,12,275
FRA,1972,2,275
FRA,1976,5,275
FRA,1980,18,275
FRA,1984,21,275
FRA,1988,12,275
JPN,1928,2,151
JPN,1932,10,151
JPN,1936,9,151
JPN,1952,1,151
JPN,1956,4,151
JPN,1960,9,151
JPN,1964,32,151
JPN,1968,16,151
JPN,1972,29,151
JPN,1976,25,151
JPN,1984,10,151
JPN,1988,4,151
NOR,1908,7,148
NOR,1912,41,148
NOR,1920,58,148
NOR,1924,16,148
NOR,1928,4,148
NOR,1936,1,148
NOR,1948,3,148
NOR,1952,5,148
NOR,1956,1,148
NOR,1960,2,148
NOR,1968,4,148
NOR,1972,2,148
NOR,1976,2,148
NOR,1988,2,148
GER,1900,11,144
GER,1904,4,144
GER,1908,4,144
GER,1912,10,144
GER,1928,20,144
GER,1932,7,144
GER,1936,88,144
FRG,1968,16,143
FRG,1972,43,143
FRG,1976,21,143
FRG,1984,31,143
FRG,1988,32,143
YUG,1924,2,130
YUG,1928,1,130
YUG,1952,4,130
YUG,1960,16,130
YUG,1964,2,130
YUG,1968,13,130
YUG,1972,15,130
YUG,1976,2,130
YUG,1980,13,130
YUG,1984,47,130
YUG,1988,15,130
IND,1928,15,127
IND,1932,11,127
IND,1936,19,127
IND,1948,20,127
IND,1952,14,127
IND,1956,17,127
IND,1964,15,127
IND,1980,16,127
FIN,1908,1,118
FIN,1912,9,118
FIN,1920,18,118
FIN,1924,24,118
FIN,1928,8,118
FIN,1932,5,118
FIN,1936,7,118
FIN,1948,15,118
FIN,1952,8,118
FIN,1956,3,118
FIN,1960,1,118
FIN,1964,3,118
FIN,1968,1,118
FIN,1972,3,118
FIN,1976,4,118
FIN,1980,3,118
FIN,1984,4,118
FIN,1988,1,118
AUS,1900,2,105
AUS,1924,3,105
AUS,1928,1,105
AUS,1932,3,105
AUS,1948,2,105
AUS,1952,7,105
AUS,1956,23,105
AUS,1960,10,105
AUS,1964,8,105
AUS,1968,5,105
AUS,1972,11,105
AUS,1980,5,105
AUS,1984,7,105
AUS,1988,18,105
CAN,1900,1,101
CAN,1904,26,101
CAN,1908,17,101
CAN,1912,3,101
CAN,1920,10,101
CAN,1928,7,101
CAN,1932,2,101
CAN,1936,1,101
CAN,1952,1,101
CAN,1956,5,101
CAN,1964,2,101
CAN,1968,3,101
CAN,1984,19,101
CAN,1988,4,101
NED,1920,14,98
NED,1924,8,98
NED,1928,20,98
NED,1932,2,98
NED,1936,9,98
NED,1948,8,98
NED,1964,5,98
NED,1968,6,98
NED,1972,3,98
NED,1984,20,98
NED,1988,3,98
BEL,1900,5,87
BEL,1908,1,87
BEL,1912,9,87
BEL,1920,57,87
BEL,1924,3,87
BEL,1948,4,87
BEL,1952,4,87
BEL,1964,2,87
BEL,1980,1,87
BEL,1984,1,87
ROU,1952,1,79
ROU,1956,6,79
ROU,1960,3,79
ROU,1964,2,79
ROU,1968,5,79
ROU,1972,3,79
ROU,1976,4,79
ROU,1980,7,79
ROU,1984,40,79
ROU,1988,8,79
