country,year,count,total_count
USA,1900,27,867
USA,1904,146,867
USA,1908,34,867
USA,1912,45,867
USA,1920,110,867
USA,1924,110,867
USA,1928,43,867
USA,1932,78,867
USA,1936,51,867
USA,1948,83,867
USA,1952,79,867
USA,1956,61,867
GBR,1900,48,352
GBR,1904,1,352
GBR,1908,144,352
GBR,1912,44,352
GBR,1920,55,352
GBR,1924,17,352
GBR,1928,6,352
GBR,1932,8,352
GBR,1936,12,352
GBR,1948,6,352
GBR,1952,3,352
GBR,1956,8,352
SWE,1908,69,306
SWE,1912,86,306
SWE,1920,53,306
SWE,1924,6,306
SWE,1928,7,306
SWE,1932,12,306
SWE,1936,7,306
SWE,1948,29,306
SWE,1952,23,306
SWE,1956,14,306
ITA,1900,2,252
ITA,1908,2,252
ITA,1912,18,252
ITA,1920,68,252
ITA,1924,25,252
ITA,1928,18,252
ITA,1932,21,252
ITA,1936,36,252
ITA,1948,20,252
ITA,1952,17,252
ITA,1956,25,252
FRA,1900,46,204
FRA,1908,9,204
FRA,1912,10,204
FRA,1920,13,204
FRA,1924,39,204
FRA,1928,7,204
FRA,1932,23,204
FRA,1936,12,204
FRA,1948,25,204
FRA,1952,14,204
FRA,1956,6,204
HUN,1900,1,172
HUN,1904,2,172
HUN,1908,6,172
HUN,1912,10,172
HUN,1924,2,172
HUN,1928,9,172
HUN,1932,20,172
HUN,1936,25,172
HUN,1948,15,172
HUN,1952,52,172
HUN,1956,30,172
GER,1900,11,144
GER,1904,4,144
GER,1908,4,144
GER,1912,10,144
GER,1928,20,144
GER,1932,7,144
GER,1936,88,144
NOR,1908,7,136
NOR,1912,41,136
NOR,1920,58,136
NOR,1924,16,136
NOR,1928,4,136
NOR,1936,1,136
NOR,1948,3,136
NOR,1952,5,136
NOR,1956,1,136
URS,1952,36,104
URS,1956,68,104
FIN,1908,1,98
FIN,1912,9,98
FIN,1920,18,98
FIN,1924,24,98
FIN,1928,8,98
FIN,1932,5,98
FIN,1936,7,98
FIN,1948,15,98
FIN,1952,8,98
FIN,1956,3,98
IND,1928,15,96
IND,1932,11,96
IND,1936,19,96
IND,1948,20,96
IND,1952,14,96
IND,1956,17,96
BEL,1900,5,83
BEL,1908,1,83
BEL,1912,9,83
BEL,1920,57,83
BEL,1924,3,83
BEL,1948,4,83
BEL,1952,4,83
CAN,1900,1,73
CAN,1904,26,73
CAN,1908,17,73
CAN,1912,3,73
CAN,1920,10,73
CAN,1928,7,73
CAN,1932,2,73
CAN,1936,1,73
CAN,1952,1,73
CAN,1956,5,73
NED,1920,14,61
NED,1924,8,61
NED,1928,20,61
NED,1932,2,61
NED,1936,9,61
NED,1948,8,61
SUI,1900,13,57
SUI,1904,1,57
SUI,1920,6,57
SUI,1924,13,57
SUI,1928,16,57
SUI,1936,1,57
SUI,1948,5,57
SUI,1952,2,57
DEN,1900,1,54
DEN,1912,5,54
DEN,1920,30,54
DEN,1924,2,54
DEN,1928,5,54
DEN,1948,7,54
DEN,1952,3,54
DEN,1956,1,54
URU,1924,22,44
URU,1928,22,44
AUS,1900,2,41
AUS,1924,3,41
AUS,1928,1,41
AUS,1932,3,41
AUS,1948,2,41
AUS,1952,7,41
AUS,1956,23,41
TCH,1924,1,35
TCH,1928,2,35
TCH,1932,1,35
TCH,1936,5,35
TCH,1948,14,35
TCH,1952,11,35
TCH,1956,1,35
JPN,1928,2,26
JPN,1932,10,26
JPN,1936,9,26
JPN,1952,1,26
JPN,1956,4,26
