country,year,count,total_count
USA,1900,27,1096
USA,1904,146,1096
USA,1908,34,1096
USA,1912,45,1096
USA,1920,110,1096
USA,1924,110,1096
USA,1928,43,1096
USA,1932,78,1096
USA,1936,51,1096
USA,1948,83,1096
USA,1952,79,1096
USA,1956,61,1096
USA,1960,68,1096
USA,1964,78,1096
USA,1968,83,1096
GBR,1900,48,366
GBR,1904,1,366
GBR,1908,144,366
GBR,1912,44,366
GBR,1920,55,366
GBR,1924,17,366
GBR,1928,6,366
GBR,1932,8,366
GBR,1936,12,366
GBR,1948,6,366
GBR,1952,3,366
GBR,1956,8,366
GBR,1960,2,366
GBR,1964,4,366
GBR,1968,8,366
SWE,1908,69,315
SWE,1912,86,315
SWE,1920,53,315
SWE,1924,6,315
SWE,1928,7,315
SWE,1932,12,315
SWE,1936,7,315
SWE,1948,29,315
SWE,1952,23,315
SWE,1956,14,315
SWE,1960,2,315
SWE,1964,3,315
SWE,1968,4,315
ITA,1900,2,306
ITA,1908,2,306
ITA,1912,18,306
ITA,1920,68,306
ITA,1924,25,306
ITA,1928,18,306
ITA,1932,21,306
ITA,1936,36,306
ITA,1948,20,306
ITA,1952,17,306
ITA,1956,25,306
ITA,1960,36,306
ITA,1964,13,306
ITA,1968,5,306
URS,1952,36,292
URS,1956,68,292
URS,1960,61,292
URS,1964,61,292
URS,1968,66,292
HUN,1900,1,259
HUN,1904,2,259
HUN,1908,6,259
HUN,1912,10,259
HUN,1924,2,259
HUN,1928,9,259
HUN,1932,20,259
HUN,1936,25,259
HUN,1948,15,259
HUN,1952,52,259
HUN,1956,30,259
HUN,1960,13,259
HUN,1964,42,259
HUN,1968,32,259
FRA,1900,46,217
FRA,1908,9,217
FRA,1912,10,217
FRA,1920,13,217
FRA,1924,39,217
FRA,1928,7,217
FRA,1932,23,217
FRA,1936,12,217
FRA,1948,25,217
FRA,1952,14,217
FRA,1956,6,217
FRA,1964,1,217
FRA,1968,12,217
GER,1900,11,144
GER,1904,4,144
GER,1908,4,144
GER,1912,10,144
GER,1928,20,144
GER,1932,7,144
GER,1936,88,144
NOR,1908,7,142
NOR,1912,41,142
NOR,1920,58,142
NOR,1924,16,142
NOR,1928,4,142
NOR,1936,1,142
NOR,1948,3,142
NOR,1952,5,142
NOR,1956,1,142
NOR,1960,2,142
NOR,1968,4,142
IND,1928,15,111
IND,1932,11,111
IND,1936,19,111
IND,1948,20,111
IND,1952,14,111
IND,1956,17,111
IND,1964,15,111
FIN,1908,1,103
FIN,1912,9,103
FIN,1920,18,103
FIN,1924,24,103
FIN,1928,8,103
FIN,1932,5,103
FIN,1936,7,103
FIN,1948,15,103
FIN,1952,8,103
FIN,1956,3,103
FIN,1960,1,103
FIN,1964,3,103
FIN,1968,1,103
BEL,1900,5,85
BEL,1908,1,85
BEL,1912,9,85
BEL,1920,57,85
BEL,1924,3,85
BEL,1948,4,85
BEL,1952,4,85
BEL,1964,2,85
JPN,1928,2,83
JPN,1932,10,83
JPN,1936,9,83
JPN,1952,1,83
JPN,1956,4,83
JPN,1960,9,83
JPN,1964,32,83
JPN,1968,16,83
CAN,1900,1,78
CAN,1904,26,78
CAN,1908,17,78
CAN,1912,3,78
CAN,1920,10,78
CAN,1928,7,78
CAN,1932,2,78
CAN,1936,1,78
CAN,1952,1,78
CAN,1956,5,78
CAN,1964,2,78
CAN,1968,3,78
NED,1920,14,72
NED,1924,8,72
NED,1928,20,72
NED,1932,2,72
NED,1936,9,72
NED,1948,8,72
NED,1964,5,72
NED,1968,6,72
EUA,1956,12,68
EUA,1960,34,68
EUA,1964,22,68
DEN,1900,1,67
DEN,1912,5,67
DEN,1920,30,67
DEN,1924,2,67
DEN,1928,5,67
DEN,1948,7,67
DEN,1952,3,67
DEN,1956,1,67
DEN,1960,2,67
DEN,1964,7,67
DEN,1968,4,67
AUS,1900,2,64
AUS,1924,3,64
AUS,1928,1,64
AUS,1932,3,64
AUS,1948,2,64
AUS,1952,7,64
AUS,1956,23,64
AUS,1960,10,64
AUS,1964,8,64
AUS,1968,5,64
SUI,1900,13,58
SUI,1904,1,58
SUI,1920,6,58
SUI,1924,13,58
SUI,1928,16,58
SUI,1936,1,58
SUI,1948,5,58
SUI,1952,2,58
SUI,1964,1,58
TCH,1924,1,51
TCH,1928,2,51
TCH,1932,1,51
TCH,1936,5,51
TCH,1948,14,51
TCH,1952,11,51
TCH,1956,1,51
TCH,1960,4,51
TCH,1964,5,51
TCH,1968,7,51
